tamper_type,role,N,metric,score,tp_or_tn,fn_or_fp,ablation_id
genuine,genuine,150,specificity,0.8933,134,16,A0_RF_Baseline
text_qr_mismatch,forged_attack,150,recall,1.0,150,0,A0_RF_Baseline
qr_only_mismatch,forged_attack,150,recall,1.0,150,0,A0_RF_Baseline
checksum_invalid,forged_attack,150,recall,1.0,150,0,A0_RF_Baseline
format_invalid,forged_attack,150,recall,1.0,150,0,A0_RF_Baseline
field_missing,forged_attack,150,recall,1.0,150,0,A0_RF_Baseline
visual_splice,forged_attack,450,recall,0.3422,154,296,A0_RF_Baseline
fine_grained_edit,forged_attack,150,recall,0.98,147,3,A0_RF_Baseline
coordinated_full_forgery,forged_attack,150,recall,0.0933,14,136,A0_RF_Baseline
genuine,genuine,150,specificity,0.9,135,15,A0_HGB_Baseline
text_qr_mismatch,forged_attack,150,recall,1.0,150,0,A0_HGB_Baseline
qr_only_mismatch,forged_attack,150,recall,0.9933,149,1,A0_HGB_Baseline
checksum_invalid,forged_attack,150,recall,1.0,150,0,A0_HGB_Baseline
format_invalid,forged_attack,150,recall,1.0,150,0,A0_HGB_Baseline
field_missing,forged_attack,150,recall,1.0,150,0,A0_HGB_Baseline
visual_splice,forged_attack,450,recall,0.34,153,297,A0_HGB_Baseline
fine_grained_edit,forged_attack,150,recall,0.98,147,3,A0_HGB_Baseline
coordinated_full_forgery,forged_attack,150,recall,0.0933,14,136,A0_HGB_Baseline
genuine,genuine,150,specificity,0.0,0,150,A1_RF_ForensicOnly
text_qr_mismatch,forged_attack,150,recall,1.0,150,0,A1_RF_ForensicOnly
qr_only_mismatch,forged_attack,150,recall,1.0,150,0,A1_RF_ForensicOnly
checksum_invalid,forged_attack,150,recall,1.0,150,0,A1_RF_ForensicOnly
format_invalid,forged_attack,150,recall,1.0,150,0,A1_RF_ForensicOnly
field_missing,forged_attack,150,recall,1.0,150,0,A1_RF_ForensicOnly
visual_splice,forged_attack,450,recall,1.0,450,0,A1_RF_ForensicOnly
fine_grained_edit,forged_attack,150,recall,1.0,150,0,A1_RF_ForensicOnly
coordinated_full_forgery,forged_attack,150,recall,1.0,150,0,A1_RF_ForensicOnly
genuine,genuine,150,specificity,0.0133,2,148,A1_HGB_ForensicOnly
text_qr_mismatch,forged_attack,150,recall,1.0,150,0,A1_HGB_ForensicOnly
qr_only_mismatch,forged_attack,150,recall,1.0,150,0,A1_HGB_ForensicOnly
checksum_invalid,forged_attack,150,recall,1.0,150,0,A1_HGB_ForensicOnly
format_invalid,forged_attack,150,recall,1.0,150,0,A1_HGB_ForensicOnly
field_missing,forged_attack,150,recall,1.0,150,0,A1_HGB_ForensicOnly
visual_splice,forged_attack,450,recall,0.9956,448,2,A1_HGB_ForensicOnly
fine_grained_edit,forged_attack,150,recall,0.9933,149,1,A1_HGB_ForensicOnly
coordinated_full_forgery,forged_attack,150,recall,1.0,150,0,A1_HGB_ForensicOnly
genuine,genuine,150,specificity,0.86,129,21,A2_RF_Combined
text_qr_mismatch,forged_attack,150,recall,0.9867,148,2,A2_RF_Combined
qr_only_mismatch,forged_attack,150,recall,0.9733,146,4,A2_RF_Combined
checksum_invalid,forged_attack,150,recall,0.9867,148,2,A2_RF_Combined
format_invalid,forged_attack,150,recall,0.9933,149,1,A2_RF_Combined
field_missing,forged_attack,150,recall,1.0,150,0,A2_RF_Combined
visual_splice,forged_attack,450,recall,0.3711,167,283,A2_RF_Combined
fine_grained_edit,forged_attack,150,recall,0.96,144,6,A2_RF_Combined
coordinated_full_forgery,forged_attack,150,recall,0.1267,19,131,A2_RF_Combined
genuine,genuine,150,specificity,0.86,129,21,A2_HGB_Combined
text_qr_mismatch,forged_attack,150,recall,0.9667,145,5,A2_HGB_Combined
qr_only_mismatch,forged_attack,150,recall,0.9533,143,7,A2_HGB_Combined
checksum_invalid,forged_attack,150,recall,0.9933,149,1,A2_HGB_Combined
format_invalid,forged_attack,150,recall,0.9867,148,2,A2_HGB_Combined
field_missing,forged_attack,150,recall,1.0,150,0,A2_HGB_Combined
visual_splice,forged_attack,450,recall,0.3956,178,272,A2_HGB_Combined
fine_grained_edit,forged_attack,150,recall,0.9333,140,10,A2_HGB_Combined
coordinated_full_forgery,forged_attack,150,recall,0.14,21,129,A2_HGB_Combined
