candidate_id,tamper_type,role,N,correct,errors,metric_name,metric_value
B0_2Way_Baseline,genuine,genuine,150,135,15,specificity,0.9
B0_2Way_Baseline,text_qr_mismatch,forged_attack,150,140,10,recall,0.9333
B0_2Way_Baseline,qr_only_mismatch,forged_attack,150,144,6,recall,0.96
B0_2Way_Baseline,checksum_invalid,forged_attack,150,150,0,recall,1.0
B0_2Way_Baseline,format_invalid,forged_attack,150,150,0,recall,1.0
B0_2Way_Baseline,field_missing,forged_attack,150,150,0,recall,1.0
B0_2Way_Baseline,visual_splice,forged_attack,450,423,27,recall,0.94
B0_2Way_Baseline,fine_grained_edit,forged_attack,150,140,10,recall,0.9333
B0_2Way_Baseline,coordinated_full_forgery,forged_attack,150,19,131,recall,0.1267
B1_3Way_RF,genuine,genuine,150,137,13,specificity,0.9133
B1_3Way_RF,text_qr_mismatch,forged_attack,150,146,4,recall,0.9733
B1_3Way_RF,qr_only_mismatch,forged_attack,150,144,6,recall,0.96
B1_3Way_RF,checksum_invalid,forged_attack,150,149,1,recall,0.9933
B1_3Way_RF,format_invalid,forged_attack,150,149,1,recall,0.9933
B1_3Way_RF,field_missing,forged_attack,150,149,1,recall,0.9933
B1_3Way_RF,visual_splice,forged_attack,450,362,88,recall,0.8044
B1_3Way_RF,fine_grained_edit,forged_attack,150,143,7,recall,0.9533
B1_3Way_RF,coordinated_full_forgery,forged_attack,150,15,135,recall,0.1
B2_3Way_HGB,genuine,genuine,150,119,31,specificity,0.7933
B2_3Way_HGB,text_qr_mismatch,forged_attack,150,147,3,recall,0.98
B2_3Way_HGB,qr_only_mismatch,forged_attack,150,145,5,recall,0.9667
B2_3Way_HGB,checksum_invalid,forged_attack,150,149,1,recall,0.9933
B2_3Way_HGB,format_invalid,forged_attack,150,150,0,recall,1.0
B2_3Way_HGB,field_missing,forged_attack,150,150,0,recall,1.0
B2_3Way_HGB,visual_splice,forged_attack,450,361,89,recall,0.8022
B2_3Way_HGB,fine_grained_edit,forged_attack,150,143,7,recall,0.9533
B2_3Way_HGB,coordinated_full_forgery,forged_attack,150,25,125,recall,0.1667
B3_2Way_A2_RF,genuine,genuine,150,137,13,specificity,0.9133
B3_2Way_A2_RF,text_qr_mismatch,forged_attack,150,146,4,recall,0.9733
B3_2Way_A2_RF,qr_only_mismatch,forged_attack,150,144,6,recall,0.96
B3_2Way_A2_RF,checksum_invalid,forged_attack,150,148,2,recall,0.9867
B3_2Way_A2_RF,format_invalid,forged_attack,150,148,2,recall,0.9867
B3_2Way_A2_RF,field_missing,forged_attack,150,149,1,recall,0.9933
B3_2Way_A2_RF,visual_splice,forged_attack,450,358,92,recall,0.7956
B3_2Way_A2_RF,fine_grained_edit,forged_attack,150,143,7,recall,0.9533
B3_2Way_A2_RF,coordinated_full_forgery,forged_attack,150,15,135,recall,0.1
B4_2Way_A2_HGB,genuine,genuine,150,113,37,specificity,0.7533
B4_2Way_A2_HGB,text_qr_mismatch,forged_attack,150,148,2,recall,0.9867
B4_2Way_A2_HGB,qr_only_mismatch,forged_attack,150,144,6,recall,0.96
B4_2Way_A2_HGB,checksum_invalid,forged_attack,150,149,1,recall,0.9933
B4_2Way_A2_HGB,format_invalid,forged_attack,150,150,0,recall,1.0
B4_2Way_A2_HGB,field_missing,forged_attack,150,150,0,recall,1.0
B4_2Way_A2_HGB,visual_splice,forged_attack,450,366,84,recall,0.8133
B4_2Way_A2_HGB,fine_grained_edit,forged_attack,150,144,6,recall,0.96
B4_2Way_A2_HGB,coordinated_full_forgery,forged_attack,150,37,113,recall,0.2467
